iso3c,year,e_gdppc
SLV,2009,4.511
SLV,2010,4.659
SLV,2011,4.886
SLV,2012,5.004
SLV,2013,5.092
SLV,2014,5.192
SLV,2015,5.279
SLV,2016,5.384
SLV,2017,5.429
SLV,2018,5.457
SLV,2019,5.335
SLV,2020,NA
SLV,2021,NA
NA,1980,1.68
NA,1981,1.693
NA,1982,1.71
NA,1983,1.727
NA,1984,1.75
NA,1985,1.749
NA,1986,1.764
NA,1987,1.751
NA,1988,1.74
NA,1989,1.733
NA,1990,1.738
BGD,1980,1.164
BGD,1981,1.166
BGD,1982,1.17
BGD,1983,1.179
BGD,1984,1.206
BGD,1985,1.224
BGD,1986,1.245
BGD,1987,1.254
BGD,1988,1.266
BGD,1989,1.308
BGD,1990,1.341
BGD,1991,1.371
BGD,1992,1.401
BGD,1993,1.428
BGD,1994,1.462
BGD,1995,1.495
BGD,1996,1.53
BGD,1997,1.559
BGD,1998,1.575
BGD,1999,1.596
BGD,2000,1.632
BGD,2001,1.677
BGD,2002,1.724
BGD,2003,1.775
BGD,2004,1.834
BGD,2005,1.919
BGD,2006,2.013
BGD,2007,2.143
BGD,2008,2.264
BGD,2009,2.393
BGD,2010,2.54
BGD,2011,2.714
BGD,2012,2.859
BGD,2013,2.998
BGD,2014,3.155
BGD,2015,3.319
BGD,2016,3.526
BGD,2017,3.759
BGD,2018,3.984
BGD,2019,4.15
BGD,2020,NA
BGD,2021,NA
BOL,1980,2.907
BOL,1981,2.87
BOL,1982,2.791
BOL,1983,2.711
BOL,1984,2.669
BOL,1985,2.645
BOL,1986,2.584
BOL,1987,2.577
BOL,1988,2.543
BOL,1989,2.6
BOL,1990,2.682
BOL,1991,2.78
BOL,1992,2.839
BOL,1993,2.904
BOL,1994,3.01
BOL,1995,3.135
BOL,1996,3.25
BOL,1997,3.326
BOL,1998,3.384
BOL,1999,3.383
BOL,2000,3.409
BOL,2001,3.423
BOL,2002,3.453
BOL,2003,3.532
BOL,2004,3.623
BOL,2005,3.734
BOL,2006,3.888
BOL,2007,4.01
BOL,2008,4.184
BOL,2009,4.302
BOL,2010,4.491
BOL,2011,4.693
BOL,2012,4.94
BOL,2013,5.167
BOL,2014,5.345
BOL,2015,5.518
BOL,2016,5.707
BOL,2017,5.969
BOL,2018,6.148
BOL,2019,6.163
BOL,2020,NA
BOL,2021,NA
HTI,1980,2.13
HTI,1981,2.072
HTI,1982,1.995
HTI,1983,1.973
HTI,1984,1.937
HTI,1985,1.905
HTI,1986,1.88
HTI,1987,1.842
HTI,1988,1.821
HTI,1989,1.783
HTI,1990,1.809
HTI,1991,1.791
HTI,1992,1.7
HTI,1993,1.585
HTI,1994,1.483
HTI,1995,1.543
HTI,1996,1.599
HTI,1997,1.631
HTI,1998,1.65
HTI,1999,1.678
HTI,2000,1.697
HTI,2001,1.666
HTI,2002,1.645
HTI,2003,1.619
HTI,2004,1.58
HTI,2005,1.569
HTI,2006,1.578
HTI,2007,1.606
HTI,2008,1.608
HTI,2009,1.628
HTI,2010,1.599
HTI,2011,1.616
HTI,2012,1.626
HTI,2013,1.644
HTI,2014,1.672
HTI,2015,1.689
HTI,2016,1.689
HTI,2017,1.688
HTI,2018,1.672
HTI,2019,1.656
HTI,2020,NA
HTI,2021,NA
HND,1980,3.325
HND,1981,3.236
HND,1982,3.153
HND,1983,3.058
HND,1984,3.057
HND,1985,3.087
HND,1986,3.137
HND,1987,3.184
HND,1988,3.237
HND,1989,3.271
HND,1990,3.257
HND,1991,3.239
HND,1992,3.303
HND,1993,3.353
HND,1994,3.349
HND,1995,3.394
HND,1996,3.406
HND,1997,3.426
HND,1998,3.436
HND,1999,3.378
HND,2000,3.433
HND,2001,3.46
HND,2002,3.521
HND,2003,3.588
HND,2004,3.687
HND,2005,3.826
HND,2006,3.939
HND,2007,4.056
HND,2008,4.089
HND,2009,4.051
HND,2010,4.096
HND,2011,4.155
HND,2012,4.231
HND,2013,4.288
HND,2014,4.389
HND,2015,4.495
HND,2016,4.635
HND,2017,4.765
HND,2018,4.837
HND,2019,4.864
HND,2020,NA
HND,2021,NA
MLI,1980,0.77
MLI,1981,0.772
MLI,1982,0.766
MLI,1983,0.768
MLI,1984,0.779
MLI,1985,0.83
MLI,1986,0.862
MLI,1987,0.854
MLI,1988,0.842
MLI,1989,0.872
MLI,1990,0.941
MLI,1991,0.984
MLI,1992,0.97
MLI,1993,0.989
MLI,1994,1.007
MLI,1995,1.083
MLI,1996,1.169
MLI,1997,1.222
MLI,1998,1.275
MLI,1999,1.325
MLI,2000,1.359
MLI,2001,1.455
MLI,2002,1.504
MLI,2003,1.567
MLI,2004,1.56
MLI,2005,1.593
MLI,2006,1.655
MLI,2007,1.687
MLI,2008,1.747
MLI,2009,1.82
MLI,2010,1.862
MLI,2011,1.882
MLI,2012,1.869
MLI,2013,1.887
MLI,2014,1.96
MLI,2015,2.031
MLI,2016,2.125
MLI,2017,2.252
MLI,2018,2.356
MLI,2019,2.444
MLI,2020,NA
MLI,2021,NA
PAK,1980,2.076
PAK,1981,2.159
PAK,1982,2.218
PAK,1983,2.279
PAK,1984,2.346
PAK,1985,2.432
